assetId,sourceArchive,category,layer,originalFileName,storedPath,width,height,sha256
COMMERCIAL_REF_0287,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13229.png,images/commercial_reference/IMG_13229.png,800,800,8265eb33341c995cf552053d3900d968925dc2108c4889e96720514b7a7238fd
COMMERCIAL_REF_0288,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13230.png,images/commercial_reference/IMG_13230.png,800,800,d54d0261ec3186775a7a2fd599e72cc4a0761f9b8bc8730a15c9da44272c3d3f
COMMERCIAL_REF_0289,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13231.png,images/commercial_reference/IMG_13231.png,800,800,d80391da7ded5d69589144b1e95a9d915705a6d119d4978d7acbcaeba7877ea8
COMMERCIAL_REF_0290,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13232.png,images/commercial_reference/IMG_13232.png,800,800,3e34160385073e496a865b861f20702f60e186ba16a485c444cb7aa168fd7460
COMMERCIAL_REF_0291,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13233.png,images/commercial_reference/IMG_13233.png,800,800,77fa9f8dd91bdf78ee542f0b7cce982dd32f37c58dca1a233a9eaa2271964ddb
COMMERCIAL_REF_0292,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13234.jpg,images/commercial_reference/IMG_13234.jpg,3072,4096,56d1f4a8d4b148baeeb96c61805831e40cdaed3cdda568c8fd2e89304dbc7ba8
COMMERCIAL_REF_0293,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13235.png,images/commercial_reference/IMG_13235.png,2284,1712,d8c4835a0b32fdb7d7e2ae160ef4eca248acbb1af4109e450d5c24bd662b17fd
COMMERCIAL_REF_0294,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13236.jpg,images/commercial_reference/IMG_13236.jpg,1200,1200,ff75e22c47b7686f1b5fd4b557a6c9a8d6702c594fc64f622f9f70266ff10e14
COMMERCIAL_REF_0295,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13237.jpg,images/commercial_reference/IMG_13237.jpg,1200,1200,aec3e8821e65b16853db176e2877d24c116beef12b67acc1191aee75b0738775
COMMERCIAL_REF_0296,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13238.jpg,images/commercial_reference/IMG_13238.jpg,1200,1200,cebe0a0bd052182da9666c08e02e8ee045755078dd259d3c868eae15712d417d
COMMERCIAL_REF_0297,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13239.jpg,images/commercial_reference/IMG_13239.jpg,1200,1200,4f86082c0e9395c0c133b4b4ede450c453f68026ebd31116ce6c9874c56e132f
COMMERCIAL_REF_0298,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13240.jpg,images/commercial_reference/IMG_13240.jpg,1200,1200,2339dbb3ee11b8d73bad39f66bc0f72f4d411ab6b72c3b7a3e81ddde7f5a06ab
COMMERCIAL_REF_0299,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13241.jpg,images/commercial_reference/IMG_13241.jpg,800,800,417f55d0f33bf64108657d5452e328c4f850e70fec6157320f52e44bc991f7b1
COMMERCIAL_REF_0300,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13242.jpg,images/commercial_reference/IMG_13242.jpg,1000,1000,0545c62f7592785a4e17e3fd8e75014fa30947a142f4c3aa58db07b64c5da496
COMMERCIAL_REF_0301,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13243.jpg,images/commercial_reference/IMG_13243.jpg,800,800,8075625f2b7b487b5a4127b65eb2728178e19e1ef6a69e529b4d29cbe28593ed
COMMERCIAL_REF_0302,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13244.jpg,images/commercial_reference/IMG_13244.jpg,800,800,326a18afa258e7b96fcad80bf8b6390c46692cab722039d55c4c25b0650c3341
COMMERCIAL_REF_0303,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13245.jpg,images/commercial_reference/IMG_13245.jpg,750,1000,eb0bbea1c03f663b0f0727cb82017dbd348cc0b9c8611210f6b47ee28709aecc
COMMERCIAL_REF_0304,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13246.heic,images/commercial_reference/IMG_13246.heic,3024,4032,735fb8aa1a057a678e2bfceb18518ed77ef7355fc97e72d40bc1887ea61222b8
COMMERCIAL_REF_0305,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13247.jpg,images/commercial_reference/IMG_13247.jpg,2064,2064,eb0845332c8c1a7af21ada1bc1f9090a333f507f781ababc313a92d056f52eb6
COMMERCIAL_REF_0306,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13248.jpg,images/commercial_reference/IMG_13248.jpg,2044,2044,ba05f55eebcd70a9e7a4de4dd6072078b525caac89b63ffdf2dfc05c08b8cd7e
COMMERCIAL_REF_0307,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13249.png,images/commercial_reference/IMG_13249.png,2056,2056,72263940211d38a6cb8fd657fa7adb0b1a3872e9931c64effe485ee849881cb3
COMMERCIAL_REF_0308,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13250.jpg,images/commercial_reference/IMG_13250.jpg,800,800,e201b3104f3b80c569e17b153970980f62fd6163a92cb0458ea4e338edac6cdf
COMMERCIAL_REF_0309,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13251.jpg,images/commercial_reference/IMG_13251.jpg,1600,1600,3f99be6d1baa6a721d7d8bd6e152943cd3da74ad434ffcfa5e7e8872b5befd0c
COMMERCIAL_REF_0310,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13252.jpg,images/commercial_reference/IMG_13252.jpg,2844,2844,9686b8dbdadcfb8c635dab640c4519604ed784d04f2dd0fda8140a32f8d79aea
